Gallery Name,City,Neighborhood,Address
Kerry Schuss,New York,Lower East Side,34 Orchard St (Hester + Canal)
Klaus Von Nichtssagend Gallery,New York,Lower East Side,54 Ludlow St (Grand + Hester)
Kristen Lorello,New York,Lower East Side,"195 Chrystie St, # 103 (Lobby) (Stanton + Rivington)"
Lehmann Maupin,New York,Lower East Side,201 Chrystie Street (Stanton + Rivington)
Lesley Heller Workspace,New York,Lower East Side,54 Orchard Street (Grand + Hester)
Lichtundfire,New York,Lower East Side,175 Rivington St. (Clinton + Attorney)
LMAK,New York,Lower East Side,298 Grand St (Eldridge + Allen)
Ludlow 38,New York,Lower East Side,38 Ludlow Street (Grand + Hester)
Lyle O. Reitzel,New York,Lower East Side,139 Eldridge St (Delancey + Broome)
Lyles & King,New York,Lower East Side,106 Forsyth Street (Broome + Grand)
Magenta Plains,New York,Lower East Side,94 Allen St (Delancey + Broome)
Marc Straus,New York,Lower East Side,299 Grand Street (Allen + Eldridge)
Marinaro,New York,Lower East Side,1 Oliver Street (St. James + Henry)
Martos Gallery,New York,Lower East Side,41 Elizabeth St (Hester + Canal)
McKenzie Fine Art,New York,Lower East Side,55 Orchard St (Grand + Hester)
Nathalie Karg Gallery,New York,Lower East Side,291 Grand St 4th fl. (@ Eldridge)
The New Museum of Contemporary Art,New York,Lower East Side,235 Bowery(@Prince)
Next to Nothing Gallery,New York,Lower East Side,"
181 Orchard St (Houston + Stanton)"
Nicelle Beauchene Gallery,New York,Lower East Side,327 Broome St (Bowery + Chrystie)
Olsen Gruin,New York,Lower East Side,30 Orchard St (Hester + Canal)
Participant Inc.,New York,Lower East Side,253 East Houston St (Norfolk + Suffolk)
PERROTIN,New York,Lower East Side,130 Orchard St (Rivington + Delancey)
Peter Blum,New York,Lower East Side,176 Grand St (Centre Market + Mulberry)
PIEROGI,New York,Lower East Side,155 Suffolk St (Houston + Stanton)
Rachel Uffner Gallery,New York,Lower East Side,170 Suffolk St (Houston + Stanton)
Regina Rex,New York,Lower East Side,221 Madison Street (Rutgers + Jefferson)
Richard Taittinger Gallery,New York,Lower East Side,154 Ludlow St (Stanton + RIvington)
Salon 94,New York,Lower East Side,243 Bowery (Stanton + Rivington)
Sargent's Daughters,New York,Lower East Side,179 East Broadway (Rutgers+ Jefferson)
SHFAP,New York,Lower East Side,208 Forsyth St (Houston + Stanton)
Shoot the Lobster,New York,Lower East Side,138 Eldridge St (Delancey + Broome)
Simon Preston,New York,Lower East Side,301 Broome St (Forsyth + Eldridge)
Simone Subal,New York,Lower East Side,131 Bowery (Broome + Grand)
Spencer Brownstone Gallery,New York,Lower East Side,170B Suffolk St (Houston + Stanton)
Sperone Westwater,New York,Lower East Side,257 Bowery (Houston + Stanton)
Spoke Art,New York,Lower East Side,210 Rivington St (Ridge + Pitt)
Stellar Projects,New York,Lower East Side,1 Rivington St ( @ Bowery)
The StoreFront Project,New York,Lower East Side,70 Orchard St (Broome + Grand)
Tibor De Nagy,New York,Lower East Side,15 Rivington St (Chrystie + Bowery)
TOTAH,New York,Lower East Side,183 Stanton St (Clinton + Attorney)
TURN Gallery,New York,Lower East Side,37 East 1st St (1st + 2nd Ave)
ULTERIOR,New York,Lower East Side,172 Attorney Street (Houston + Stanton)
Van Doren Waxter LES,New York,Lower East Side,195 Chrystie St (Stanton + Rivington)
Yours Mine & Ours,New York,Lower East Side,54 Eldridge St (Hester & Canal)
YveYANG,New York,Lower East Side,288 Broome St (Allen + Eldridge)
Zürcher Gallery,New York,Lower East Side,33 Bleecker Street (@ Mott)
315 Gallery,New York,Brooklyn/Queens,312 Livingston St
Century Pictures,New York,Brooklyn/Queens,1329 Willoughby Ave
The Chimney,New York,Brooklyn/Queens,200 Morgan Ave
Clearing,New York,Brooklyn/Queens,396 Johnson Ave
Cleopatra's,New York,Brooklyn/Queens,110 Meserole Ave
Fisher Parrish,New York,Brooklyn/Queens,238 Wilson Ave
Fresh Window,New York,Brooklyn/Queens,56 Bogart St
GreenPoint Terminal,New York,Brooklyn/Queens,67 West St
Helper,New York,Brooklyn/Queens,495 Rogers Ave
Honey Ramka,New York,Brooklyn/Queens,56 Bogart St
King's Leap,New York,Brooklyn/Queens,1329 Willoughby AVe
Luhring Augustine,New York,Brooklyn/Queens,25 knickerbocker Ave
Marvin Gardens,New York,Brooklyn/Queens,1532 Decatur St
Koenig & Clinton,New York,Brooklyn/Queens,1329 Willoughby Ave
Knockdown Center,New York,Brooklyn/Queens,52-19 flushing Ave
Meyohas,New York,Brooklyn/Queens,"42-01 21st st, LIC"
Microscope,New York,Brooklyn/Queens,1329 Willoughby Ave
Motel,New York,Brooklyn/Queens,1078 Dekalb Ave
Mrs.,New York,Brooklyn/Queens,60-40 56th Dr
Odetta,New York,Brooklyn/Queens,229 Cook st
Ortega Y Gasset,New York,Brooklyn/Queens,"363 3rd Ave, Brooklyn"
Owen James,New York,Brooklyn/Queens,61 Greenpoint Ave
Present Company,New York,Brooklyn/Queens,254 Johnson Ave
Safe,New York,Brooklyn/Queens,1004 metropolitan Ave
Sardine,New York,Brooklyn/Queens,286 Stanhope St
Soloway,New York,Brooklyn/Queens,348 4th St
SouthGirst,New York,Brooklyn/Queens,60 N 6th St
Studio 10 ,New York,Brooklyn/Queens,56 Bogart St
Theadore:Art,New York,Brooklyn/Queens,56 Bogart St
Transfer,New York,Brooklyn/Queens,1030 Metropolitan Ave
Transmitter,New York,Brooklyn/Queens,1329 Willoughby Ave
TSA,New York,Brooklyn/Queens,1329 Willoughby Ave
Underdonk,New York,Brooklyn/Queens,1329 Willoughby Ave
